Datetime,DOM_MW,ARIMA_prediction,SARIMAX_prediction,ETS_prediction,Prophet_prediction,SVR_prediction,LSTM_prediction
2005-05-01 01:00:00,7190.0,,,,,,
2005-05-01 02:00:00,6803.0,,,,,,
2005-05-01 03:00:00,6583.0,,,,,,
2005-05-01 04:00:00,6452.0,,,,,,
2005-05-01 05:00:00,6445.0,,,,,,
2005-05-01 06:00:00,6536.0,,,,,,
2005-05-01 07:00:00,6702.0,,,,,,
2005-05-01 08:00:00,7137.0,,,,,,
2005-05-01 09:00:00,7743.0,,,,,,
2005-05-01 10:00:00,8215.0,,,,,,
2005-05-01 11:00:00,8383.0,,,,,,
2005-05-01 12:00:00,8395.0,,,,,,
2005-05-01 13:00:00,8401.0,,,,,,
2005-05-01 14:00:00,8308.0,,,,,,
2005-05-01 15:00:00,8186.0,,,,,,
2005-05-01 16:00:00,8137.0,,,,,,
2005-05-01 17:00:00,8205.0,,,,,,
2005-05-01 18:00:00,8299.0,,,,,,
2005-05-01 19:00:00,8426.0,,,,,,
2005-05-01 20:00:00,8591.0,,,,,,
2005-05-01 21:00:00,9261.0,,,,,,
2005-05-01 22:00:00,9008.0,,,,,,
2005-05-01 23:00:00,8278.0,,,,,,
2005-05-02 00:00:00,7516.0,,,,,,
2005-05-02 01:00:00,6897.0,,,,,,
2005-05-02 02:00:00,6661.0,,,,,,
2005-05-02 03:00:00,6601.0,,,,,,
2005-05-02 04:00:00,6638.0,,,,,,
2005-05-02 05:00:00,6855.0,,,,,,
2005-05-02 06:00:00,7666.0,,,,,,
2005-05-02 07:00:00,8911.0,,,,,,
2005-05-02 08:00:00,9499.0,,,,,,
2005-05-02 09:00:00,9399.0,,,,,,
2005-05-02 10:00:00,9371.0,,,,,,
2005-05-02 11:00:00,9389.0,,,,,,
2005-05-02 12:00:00,9360.0,,,,,,
2005-05-02 13:00:00,9308.0,,,,,,
2005-05-02 14:00:00,9286.0,,,,,,
2005-05-02 15:00:00,9162.0,,,,,,
2005-05-02 16:00:00,9141.0,,,,,,
2005-05-02 17:00:00,9153.0,,,,,,
2005-05-02 18:00:00,9177.0,,,,,,
2005-05-02 19:00:00,9192.0,,,,,,
2005-05-02 20:00:00,9328.0,,,,,,
2005-05-02 21:00:00,9869.0,,,,,,
2005-05-02 22:00:00,9547.0,,,,,,
2005-05-02 23:00:00,8668.0,,,,,,
2005-05-03 00:00:00,7819.0,,,,,,
2005-05-03 01:00:00,7288.0,,,,,,
2005-05-03 02:00:00,7045.0,,,,,,
2005-05-03 03:00:00,6982.0,,,,,,
2005-05-03 04:00:00,7040.0,,,,,,
2005-05-03 05:00:00,7331.0,,,,,,
2005-05-03 06:00:00,8183.0,,,,,,
2005-05-03 07:00:00,9509.0,,,,,,
2005-05-03 08:00:00,9993.0,,,,,,
2005-05-03 09:00:00,9659.0,,,,,,
2005-05-03 10:00:00,9423.0,,,,,,
2005-05-03 11:00:00,9311.0,,,,,,
2005-05-03 12:00:00,9197.0,,,,,,
2005-05-03 13:00:00,9077.0,,,,,,
2005-05-03 14:00:00,8998.0,,,,,,
2005-05-03 15:00:00,8923.0,,,,,,
2005-05-03 16:00:00,8879.0,,,,,,
2005-05-03 17:00:00,8884.0,,,,,,
2005-05-03 18:00:00,8919.0,,,,,,
2005-05-03 19:00:00,8897.0,,,,,,
2005-05-03 20:00:00,9086.0,,,,,,
2005-05-03 21:00:00,9688.0,,,,,,
2005-05-03 22:00:00,9350.0,,,,,,
2005-05-03 23:00:00,8479.0,,,,,,
2005-05-04 00:00:00,7638.0,,,,,,
2005-05-04 01:00:00,7052.0,,,,,,
2005-05-04 02:00:00,6800.0,,,,,,
2005-05-04 03:00:00,6708.0,,,,,,
2005-05-04 04:00:00,6746.0,,,,,,
2005-05-04 05:00:00,6986.0,,,,,,
2005-05-04 06:00:00,7779.0,,,,,,
2005-05-04 07:00:00,9096.0,,,,,,
2005-05-04 08:00:00,9663.0,,,,,,
2005-05-04 09:00:00,9554.0,,,,,,
2005-05-04 10:00:00,9539.0,,,,,,
2005-05-04 11:00:00,9437.0,,,,,,
2005-05-04 12:00:00,9363.0,,,,,,
2005-05-04 13:00:00,9263.0,,,,,,
2005-05-04 14:00:00,9168.0,,,,,,
2005-05-04 15:00:00,9068.0,,,,,,
2005-05-04 16:00:00,8994.0,,,,,,
2005-05-04 17:00:00,8982.0,,,,,,
